attendance_id,student_id,course_code,date,status,hours_present,total_hours,notes
1,UJ2024001,NUR1511,2024-02-01,LATE,1.6,2.3,Class 1
2,UJ2024001,NUR1511,2024-02-08,PRESENT,2.6,2.6,Class 2
3,UJ2024001,NUR1511,2024-02-15,PRESENT,2.7,2.7,Class 3
4,UJ2024001,NUR1511,2024-02-22,PRESENT,2.6,2.6,Class 4
5,UJ2024001,NUR1511,2024-02-29,PRESENT,2.8,2.8,Class 5
6,UJ2024001,NUR1511,2024-03-07,LATE,1.5,2.4,Class 6
7,UJ2024001,NUR1511,2024-03-14,PRESENT,2.1,2.1,Class 7
8,UJ2024001,NUR1511,2024-03-21,PRESENT,2.1,2.1,Class 8
9,UJ2024001,NUR1511,2024-03-28,PRESENT,2.0,2.0,Class 9
10,UJ2024001,NUR1511,2024-04-04,PRESENT,2.1,2.1,Class 10
11,UJ2024001,NUR1511,2024-04-11,PRESENT,3.0,3.0,Class 11
12,UJ2024001,LAW2611,2024-02-01,PRESENT,2.3,2.3,Class 1
13,UJ2024001,LAW2611,2024-02-08,PRESENT,2.6,2.6,Class 2
14,UJ2024001,LAW2611,2024-02-15,PRESENT,2.3,2.3,Class 3
15,UJ2024001,LAW2611,2024-02-22,PRESENT,2.6,2.6,Class 4
16,UJ2024001,LAW2611,2024-02-29,ABSENT,0,2.6,Class 5
17,UJ2024001,LAW2611,2024-03-07,PRESENT,2.0,2.0,Class 6
18,UJ2024001,LAW2611,2024-03-14,ABSENT,0,2.9,Class 7
19,UJ2024001,LAW2611,2024-03-21,PRESENT,2.4,2.4,Class 8
20,UJ2024001,LAW2611,2024-03-28,PRESENT,2.1,2.1,Class 9
21,UJ2024001,LAW2611,2024-04-04,PRESENT,2.5,2.5,Class 10
22,UJ2024001,LAW2611,2024-04-11,PRESENT,2.8,2.8,Class 11
23,UJ2024001,LAW2611,2024-04-18,ABSENT,0,2.6,Class 12
24,UJ2024001,LAW2611,2024-04-25,PRESENT,2.8,2.8,Class 13
25,UJ2024001,MNB1501,2024-02-01,PRESENT,2.1,2.1,Class 1
26,UJ2024001,MNB1501,2024-02-08,PRESENT,2.8,2.8,Class 2
27,UJ2024001,MNB1501,2024-02-15,PRESENT,2.9,2.9,Class 3
28,UJ2024001,MNB1501,2024-02-22,PRESENT,2.8,2.8,Class 4
29,UJ2024001,MNB1501,2024-02-29,PRESENT,2.6,2.6,Class 5
30,UJ2024001,MNB1501,2024-03-07,PRESENT,2.6,2.6,Class 6
31,UJ2024001,MNB1501,2024-03-14,ABSENT,0,2.8,Class 7
32,UJ2024001,MNB1501,2024-03-21,LATE,1.8,2.5,Class 8
33,UJ2024001,MNB1501,2024-03-28,PRESENT,2.7,2.7,Class 9
34,UJ2024001,MNB1501,2024-04-04,LATE,1.9,2.4,Class 10
35,UJ2024001,MNB1501,2024-04-11,PRESENT,2.8,2.8,Class 11
36,UJ2024001,MNB1501,2024-04-18,PRESENT,2.4,2.4,Class 12
37,UJ2024001,ART1511,2024-02-01,PRESENT,2.7,2.7,Class 1
38,UJ2024001,ART1511,2024-02-08,PRESENT,2.1,2.1,Class 2
39,UJ2024001,ART1511,2024-02-15,PRESENT,3.0,3.0,Class 3
40,UJ2024001,ART1511,2024-02-22,PRESENT,2.7,2.7,Class 4
41,UJ2024001,ART1511,2024-02-29,PRESENT,2.5,2.5,Class 5
42,UJ2024001,ART1511,2024-03-07,PRESENT,2.0,2.0,Class 6
43,UJ2024001,ART1511,2024-03-14,PRESENT,2.1,2.1,Class 7
44,UJ2024001,ART1511,2024-03-21,PRESENT,2.3,2.3,Class 8
45,UJ2024001,ART1511,2024-03-28,PRESENT,2.7,2.7,Class 9
46,UJ2024001,ART1511,2024-04-04,PRESENT,2.2,2.2,Class 10
47,UJ2024001,ART1511,2024-04-11,PRESENT,2.2,2.2,Class 11
48,UJ2024001,NUR2611,2024-02-01,LATE,2.4,2.8,Class 1
49,UJ2024001,NUR2611,2024-02-08,PRESENT,2.7,2.7,Class 2
50,UJ2024001,NUR2611,2024-02-15,PRESENT,2.0,2.0,Class 3
51,UJ2024001,NUR2611,2024-02-22,PRESENT,2.5,2.5,Class 4
52,UJ2024001,NUR2611,2024-02-29,PRESENT,2.0,2.0,Class 5
53,UJ2024001,NUR2611,2024-03-07,PRESENT,2.7,2.7,Class 6
54,UJ2024001,NUR2611,2024-03-14,PRESENT,2.2,2.2,Class 7
55,UJ2024001,NUR2611,2024-03-21,PRESENT,2.9,2.9,Class 8
56,UJ2024001,NUR2611,2024-03-28,PRESENT,2.2,2.2,Class 9
57,UJ2024001,NUR2611,2024-04-04,PRESENT,2.0,2.0,Class 10
58,UJ2024001,NUR2611,2024-04-11,PRESENT,2.1,2.1,Class 11
59,UJ2024001,NUR2611,2024-04-18,ABSENT,0,2.9,Class 12
60,UJ2024001,NUR2611,2024-04-25,PRESENT,2.6,2.6,Class 13
61,UJ2024001,BIO1511,2024-02-01,PRESENT,2.4,2.4,Class 1
62,UJ2024001,BIO1511,2024-02-08,LATE,1.9,2.5,Class 2
63,UJ2024001,BIO1511,2024-02-15,ABSENT,0,2.8,Class 3
64,UJ2024001,BIO1511,2024-02-22,PRESENT,2.1,2.1,Class 4
65,UJ2024001,BIO1511,2024-02-29,PRESENT,2.3,2.3,Class 5
66,UJ2024001,BIO1511,2024-03-07,PRESENT,2.1,2.1,Class 6
67,UJ2024001,BIO1511,2024-03-14,PRESENT,2.1,2.1,Class 7
68,UJ2024001,BIO1511,2024-03-21,PRESENT,3.0,3.0,Class 8
69,UJ2024001,BIO1511,2024-03-28,LATE,1.7,2.9,Class 9
70,UJ2024001,BIO1511,2024-04-04,PRESENT,2.5,2.5,Class 10
71,UJ2024002,MNB2601,2024-02-01,ABSENT,0,2.2,Class 1
72,UJ2024002,MNB2601,2024-02-08,PRESENT,2.3,2.3,Class 2
73,UJ2024002,MNB2601,2024-02-15,PRESENT,2.4,2.4,Class 3
74,UJ2024002,MNB2601,2024-02-22,PRESENT,3.0,3.0,Class 4
75,UJ2024002,MNB2601,2024-02-29,PRESENT,2.9,2.9,Class 5
76,UJ2024002,MNB2601,2024-03-07,LATE,1.6,2.4,Class 6
77,UJ2024002,MNB2601,2024-03-14,PRESENT,2.7,2.7,Class 7
78,UJ2024002,MNB2601,2024-03-21,PRESENT,2.2,2.2,Class 8
79,UJ2024002,MNB2601,2024-03-28,ABSENT,0,2.8,Class 9
80,UJ2024002,MNB2601,2024-04-04,PRESENT,3.0,3.0,Class 10
81,UJ2024002,MNB2601,2024-04-11,PRESENT,3.0,3.0,Class 11
82,UJ2024002,MNB2601,2024-04-18,PRESENT,2.4,2.4,Class 12
83,UJ2024002,MNB2601,2024-04-25,PRESENT,2.7,2.7,Class 13
84,UJ2024002,MNB2601,2024-05-02,PRESENT,2.9,2.9,Class 14
85,UJ2024002,INF2611,2024-02-01,PRESENT,2.2,2.2,Class 1
86,UJ2024002,INF2611,2024-02-08,PRESENT,2.5,2.5,Class 2
87,UJ2024002,INF2611,2024-02-15,PRESENT,2.8,2.8,Class 3
88,UJ2024002,INF2611,2024-02-22,PRESENT,2.8,2.8,Class 4
89,UJ2024002,INF2611,2024-02-29,PRESENT,2.2,2.2,Class 5
90,UJ2024002,INF2611,2024-03-07,PRESENT,2.3,2.3,Class 6
91,UJ2024002,INF2611,2024-03-14,PRESENT,2.2,2.2,Class 7
92,UJ2024002,INF2611,2024-03-21,PRESENT,2.7,2.7,Class 8
93,UJ2024002,INF2611,2024-03-28,PRESENT,2.5,2.5,Class 9
94,UJ2024002,INF2611,2024-04-04,PRESENT,2.8,2.8,Class 10
95,UJ2024002,INF2611,2024-04-11,PRESENT,2.9,2.9,Class 11
96,UJ2024002,INF2611,2024-04-18,PRESENT,2.4,2.4,Class 12
97,UJ2024002,INF2611,2024-04-25,PRESENT,3.0,3.0,Class 13
98,UJ2024003,APM2611,2024-02-01,LATE,1.3,2.4,Class 1
99,UJ2024003,APM2611,2024-02-08,PRESENT,2.8,2.8,Class 2
100,UJ2024003,APM2611,2024-02-15,PRESENT,2.3,2.3,Class 3
101,UJ2024003,APM2611,2024-02-22,PRESENT,2.3,2.3,Class 4
102,UJ2024003,APM2611,2024-02-29,PRESENT,2.3,2.3,Class 5
103,UJ2024003,APM2611,2024-03-07,PRESENT,2.4,2.4,Class 6
104,UJ2024003,APM2611,2024-03-14,PRESENT,2.9,2.9,Class 7
105,UJ2024003,APM2611,2024-03-21,PRESENT,2.4,2.4,Class 8
106,UJ2024003,APM2611,2024-03-28,PRESENT,2.2,2.2,Class 9
107,UJ2024003,APM2611,2024-04-04,PRESENT,2.6,2.6,Class 10
108,UJ2024003,APM2611,2024-04-11,PRESENT,2.1,2.1,Class 11
109,UJ2024003,ENG2611,2024-02-01,PRESENT,2.8,2.8,Class 1
110,UJ2024003,ENG2611,2024-02-08,PRESENT,2.8,2.8,Class 2
111,UJ2024003,ENG2611,2024-02-15,PRESENT,2.7,2.7,Class 3
112,UJ2024003,ENG2611,2024-02-22,PRESENT,2.7,2.7,Class 4
113,UJ2024003,ENG2611,2024-02-29,PRESENT,2.5,2.5,Class 5
114,UJ2024003,ENG2611,2024-03-07,PRESENT,2.0,2.0,Class 6
115,UJ2024003,ENG2611,2024-03-14,PRESENT,2.8,2.8,Class 7
116,UJ2024003,ENG2611,2024-03-21,PRESENT,2.0,2.0,Class 8
117,UJ2024003,ENG2611,2024-03-28,ABSENT,0,2.8,Class 9
