enrollment_id,student_id,course_code,enrollment_date,status,attendance_percentage
1,UJ2024001,NUR1511,2024-04-14,ENROLLED,83.19
2,UJ2024001,LAW2611,2024-05-16,ENROLLED,91.42
3,UJ2024001,MNB1501,2024-10-27,ENROLLED,89.06
4,UJ2024001,ART1511,2024-06-17,ENROLLED,94.99
5,UJ2024001,PHY2611,2024-10-22,COMPLETED,99.54
6,UJ2024001,NUR2611,2024-09-16,ENROLLED,95.78
7,UJ2024001,CHE2611,2024-08-15,COMPLETED,91.45
8,UJ2024001,BIO1511,2024-01-15,ENROLLED,97.8
9,UJ2024002,FAC2601,2024-06-15,COMPLETED,90.29
10,UJ2024002,EKN224,2024-08-01,COMPLETED,88.26
11,UJ2024002,MAT1581,2024-11-25,COMPLETED,93.23
12,UJ2024002,ART1511,2024-04-14,COMPLETED,90.26
13,UJ2024002,MNB2601,2024-07-07,ENROLLED,77.61
14,UJ2024002,INF2611,2024-03-19,ENROLLED,88.1
15,UJ2024003,APM2611,2024-10-16,ENROLLED,70.53
16,UJ2024003,ENG2611,2024-01-20,ENROLLED,68.29
17,UJ2024003,APM1513,2024-06-09,ENROLLED,89.17
18,UJ2024003,ARC1511,2024-05-02,ENROLLED,52.67
19,UJ2024003,ART2611,2024-09-06,ENROLLED,95.56
20,UJ2024003,INF1511,2024-07-28,ENROLLED,92.5
21,UJ2024003,SOC2601,2024-05-06,ENROLLED,81.46
22,UJ2024004,LAW2611,2024-08-13,ENROLLED,87.08
23,UJ2024004,MAT1581,2024-09-09,ENROLLED,85.6
24,UJ2024004,COS2611,2024-03-19,ENROLLED,87.5
25,UJ2024004,BIO2611,2024-01-28,ENROLLED,85.25
26,UJ2024004,EKN114,2024-12-15,ENROLLED,88.11
27,UJ2024004,MNB2601,2024-12-03,ENROLLED,96.75
28,UJ2024005,ART1511,2024-12-07,ENROLLED,81.64
29,UJ2024005,MNB1501,2024-10-21,ENROLLED,84.78
30,UJ2024005,PLS2601,2024-05-03,ENROLLED,80.97
31,UJ2024005,CHE1511,2024-01-23,ENROLLED,92.15
32,UJ2024006,CHE2611,2024-06-23,ENROLLED,80.19
33,UJ2024006,INF2611,2024-07-23,COMPLETED,86.69
34,UJ2024006,MAT2681,2024-08-02,COMPLETED,80.7
35,UJ2024006,FAC2601,2024-01-10,ENROLLED,99.26
36,UJ2024006,EKN224,2024-06-08,ENROLLED,58.45
37,UJ2024007,COS1511,2024-12-01,ENROLLED,87.98
38,UJ2024007,EKN114,2024-02-02,COMPLETED,55.42
39,UJ2024007,MNB2601,2024-08-05,COMPLETED,97.75
40,UJ2024007,FAC1502,2024-01-18,ENROLLED,89.74
41,UJ2024007,BIO1511,2024-06-03,ENROLLED,99.13
42,UJ2024007,PLS2601,2024-02-19,ENROLLED,90.58
43,UJ2024007,MNB1501,2024-06-23,ENROLLED,63.07
44,UJ2024007,PHY1513,2024-08-05,COMPLETED,91.05
45,UJ2024008,MAT2681,2024-09-16,COMPLETED,92.57
46,UJ2024008,ENG2611,2024-03-27,COMPLETED,88.69
47,UJ2024008,FAC2601,2024-05-15,ENROLLED,92.11
48,UJ2024008,INF1511,2024-03-12,ENROLLED,55.34
49,UJ2024008,NUR2611,2024-03-17,ENROLLED,88.37
50,UJ2024008,FAC1502,2024-03-04,COMPLETED,84.06
51,UJ2024008,COS2611,2024-05-17,ENROLLED,90.66
