grade_id,student_id,course_code,assignment1,assignment2,assignment3,midterm,final_exam,total_score,grade_letter,gpa,semester,recorded_date
1,UJ2024001,PHY2611,85.05,51.94,92.04,64.35,97.65,79.74,A,4.0,2024-1,2026-01-12
2,UJ2024001,CHE2611,93.13,55.16,53.67,53.72,96.73,72.74,B+,3.5,2024-1,2026-01-12
3,UJ2024002,FAC2601,54.45,71.81,69.21,53.66,91.66,70.23,B+,3.5,2024-1,2026-01-12
4,UJ2024002,EKN224,54.07,74.29,99.15,97.59,53.14,74.47,B+,3.5,2024-1,2026-01-12
5,UJ2024002,MAT1581,75.11,59.5,87.38,56.05,65.51,66.96,B,3.0,2024-1,2026-01-12
6,UJ2024002,ART1511,85.2,80.46,70.05,52.81,78.07,71.98,B+,3.5,2024-1,2026-01-12
7,UJ2024006,INF2611,81.33,90.64,72.8,98.83,97.65,90.72,A,4.0,2024-1,2026-01-12
8,UJ2024006,MAT2681,65.86,91.6,83.53,61.29,59.97,69.46,B,3.0,2024-1,2026-01-12
9,UJ2024007,EKN114,98.38,60.76,99.98,85.06,76.76,83.16,A,4.0,2024-1,2026-01-12
10,UJ2024007,MNB2601,61.77,58.92,96.95,86.85,60.04,72.37,B+,3.5,2024-1,2026-01-12
11,UJ2024007,PHY1513,97.35,61.61,91.19,59.55,50.09,67.44,B,3.0,2024-1,2026-01-12
12,UJ2024008,MAT2681,77.93,52.21,84.93,61.84,70.95,69.01,B,3.0,2024-1,2026-01-12
13,UJ2024008,ENG2611,99.74,56.16,88.1,60.35,62.02,70.29,B+,3.5,2024-1,2026-01-12
14,UJ2024008,FAC1502,64.11,55.41,63.44,86.31,76.79,72.06,B+,3.5,2024-1,2026-01-12
15,UJ2024009,LAW1511,75.23,73.74,99.61,58.18,75.36,74.44,B+,3.5,2024-1,2026-01-12
16,UJ2024012,ART2611,92.72,91.25,75.02,51.15,74.44,73.97,B+,3.5,2024-1,2026-01-12
17,UJ2024013,ARC2611,76.66,81.69,70.88,58.8,52.98,64.98,C+,2.5,2024-1,2026-01-12
18,UJ2024013,APM1513,98.67,75.19,71.94,73.76,74.46,77.65,A,4.0,2024-1,2026-01-12
19,UJ2024013,COS1511,82.84,68.15,69.46,50.01,66.14,65.41,B,3.0,2024-1,2026-01-12
20,UJ2024015,PLS1501,59.36,76.08,75.92,72.52,75.71,72.55,B+,3.5,2024-1,2026-01-12
21,UJ2024015,ENG1511,51.77,55.65,85.39,75.05,91.62,75.17,A,4.0,2024-1,2026-01-12
22,UJ2024016,EKN224,89.21,79.39,70.75,88.22,87.61,84.24,A,4.0,2024-1,2026-01-12
23,UJ2024017,PHY1513,52.58,63.89,54.01,85.71,67.74,67.32,B,3.0,2024-1,2026-01-12
24,UJ2024017,PHY2611,96.18,78.06,64.22,87.66,58.62,75.27,A,4.0,2024-1,2026-01-12
25,UJ2024021,PLS1501,56.47,81.53,74.88,96.79,83.42,81.16,A,4.0,2024-1,2026-01-12
26,UJ2024021,COS2611,81.59,97.12,60.94,66.89,66.96,72.76,B+,3.5,2024-1,2026-01-12
27,UJ2024022,LAW1511,78.95,68.16,95.4,92.42,94.2,87.74,A,4.0,2024-1,2026-01-12
28,UJ2024022,MNB1501,57.92,85.36,78.2,77.78,59.23,70.44,B+,3.5,2024-1,2026-01-12
29,UJ2024023,COS2611,99.24,63.8,61.55,90.84,63.35,75.4,A,4.0,2024-1,2026-01-12
30,UJ2024024,COS1511,73.66,97.72,55.94,54.9,96.22,76.69,A,4.0,2024-1,2026-01-12
31,UJ2024025,MNB2601,90.12,50.65,63.89,51.34,78.42,67.06,B,3.0,2024-1,2026-01-12
32,UJ2024026,INF2611,68.15,89.24,60.45,88.27,75.92,77.52,A,4.0,2024-1,2026-01-12
33,UJ2024026,BIO2611,78.2,80.46,92.1,96.41,75.76,84.44,A,4.0,2024-1,2026-01-12
34,UJ2024027,PHY2611,71.24,99.12,95.67,65.3,99.97,86.22,A,4.0,2024-1,2026-01-12
35,UJ2024027,EKN114,64.89,56.34,74.53,70.44,56.74,64.0,C+,2.5,2024-1,2026-01-12
36,UJ2024027,SOC1501,60.72,68.7,58.31,65.11,75.16,66.98,B,3.0,2024-1,2026-01-12
37,UJ2024028,MAT1581,95.88,50.09,73.17,73.4,63.17,70.17,B+,3.5,2024-1,2026-01-12
38,UJ2024028,ARC1511,56.85,87.84,82.41,95.25,95.41,86.5,A,4.0,2024-1,2026-01-12
39,UJ2024028,COS2611,85.64,78.86,84.12,81.34,52.89,73.5,B+,3.5,2024-1,2026-01-12
40,UJ2024029,MAT1581,92.86,86.54,95.41,72.99,70.82,80.71,A,4.0,2024-1,2026-01-12
41,UJ2024029,EKN224,70.94,88.73,84.25,91.4,58.82,77.08,A,4.0,2024-1,2026-01-12
42,UJ2024030,ARC2611,88.61,85.1,96.19,72.49,51.51,74.06,B+,3.5,2024-1,2026-01-12
43,UJ2024031,INF2611,76.64,89.56,74.48,76.42,51.55,70.67,B+,3.5,2024-1,2026-01-12
44,UJ2024031,FAC1502,83.44,61.22,55.29,78.05,69.1,70.23,B+,3.5,2024-1,2026-01-12
45,UJ2024032,FAC1502,74.08,71.41,76.49,54.88,52.2,62.68,C+,2.5,2024-1,2026-01-12
46,UJ2024033,FAC1502,96.3,55.85,98.13,88.29,78.92,83.29,A,4.0,2024-1,2026-01-12
